poi_id,name,location,category,latitude,longitude,hours_raw,hours_status,data_status,source_url
osm:way:907748788,Đình Bình Tạo,Đồng Tháp,temple,10.347534849999999,106.34139479999999,,unknown,usable,https://www.openstreetmap.org/way/907748788
osm:way:907748789,Đình thần Vĩnh Phú,Hồ Chí Minh,temple,10.87915205,106.69262235988819,,unknown,usable,https://www.openstreetmap.org/way/907748789
osm:way:907748790,Đình thần Bình Giao,Hồ Chí Minh,temple,10.92540865,106.70317134171874,,unknown,usable,https://www.openstreetmap.org/way/907748790
osm:way:907748791,Đình thần Phú Hội,Hồ Chí Minh,temple,10.88908725,106.70960367718334,,unknown,usable,https://www.openstreetmap.org/way/907748791
osm:way:907748792,Đình Phong Thuận,Đồng Tháp,temple,10.350227199999999,106.39354153502438,,unknown,usable,https://www.openstreetmap.org/way/907748792
osm:way:907748803,Đình Bình Phụng,Vĩnh Long,temple,10.0861482,106.1496088049152,,unknown,usable,https://www.openstreetmap.org/way/907748803
osm:way:907748804,Đình thần Long Thạnh,Vĩnh Long,temple,10.287191750000002,106.46042915000001,,unknown,usable,https://www.openstreetmap.org/way/907748804
osm:way:907748805,Đình Long Phụng,Vĩnh Long,temple,10.27819955,106.4776222,,unknown,usable,https://www.openstreetmap.org/way/907748805
osm:way:907748806,Đình Bình Hòa,Vĩnh Long,temple,10.166097950000001,106.49968399237727,,unknown,usable,https://www.openstreetmap.org/way/907748806
osm:way:907748807,Đình An Phước,Đồng Tháp,temple,10.3774063,106.30809444051799,,unknown,usable,https://www.openstreetmap.org/way/907748807
osm:way:907748815,Đình Thới Đông,Hồ Chí Minh,temple,10.8938028,106.59498325,,unknown,usable,https://www.openstreetmap.org/way/907748815
osm:way:907748816,Đình Thới Tây,Hồ Chí Minh,temple,10.907702950000001,106.59620542740362,,unknown,usable,https://www.openstreetmap.org/way/907748816
osm:way:907748840,Đình thần Long Phú,Hồ Chí Minh,temple,10.7983326,106.81047695,,unknown,usable,https://www.openstreetmap.org/way/907748840
osm:way:907748874,Đình Quảng Hòa,Hồ Chí Minh,temple,10.75374055,106.68079581644477,,unknown,usable,https://www.openstreetmap.org/way/907748874
osm:way:907748880,Đình thần Dầu Tiếng,Hồ Chí Minh,temple,11.273995450000001,106.35609625000001,,unknown,usable,https://www.openstreetmap.org/way/907748880
osm:way:907748881,Đình Tân Hưng,Cà Mau,temple,9.28831795,105.72874828920271,,unknown,usable,https://www.openstreetmap.org/way/907748881
osm:way:907748882,Đình An Trạch,Cà Mau,temple,9.2854136,105.72899485550357,,unknown,usable,https://www.openstreetmap.org/way/907748882
osm:way:907748902,Đình thần Thanh An,Đồng Nai,temple,11.72944055,106.72514884303132,,unknown,usable,https://www.openstreetmap.org/way/907748902
osm:way:907748903,Đình thần Tân Lập Phú,Đồng Nai,temple,11.6579275,106.61280115,,unknown,usable,https://www.openstreetmap.org/way/907748903
osm:way:907748904,Đình thần Hưng Long,Đồng Nai,temple,11.414380900000001,106.6144046,,unknown,usable,https://www.openstreetmap.org/way/907748904
osm:way:907748905,Đình thần Tân Khai,Đồng Nai,temple,11.552146749999999,106.61229027365641,,unknown,usable,https://www.openstreetmap.org/way/907748905
osm:way:907748906,Đình Phú Lễ,Vĩnh Long,temple,10.066331550000001,106.61152108763204,,unknown,usable,https://www.openstreetmap.org/way/907748906
osm:way:907748972,Đình thần Bình Chánh,Hồ Chí Minh,temple,11.04581975,106.77923364977707,,unknown,usable,https://www.openstreetmap.org/way/907748972
osm:way:907748973,Đình Thái Hòa,Hồ Chí Minh,temple,10.99153755,106.756642744397,,unknown,usable,https://www.openstreetmap.org/way/907748973
osm:way:907748974,Đình Tân Hưng,Cà Mau,temple,9.140771449999999,105.1291664,,unknown,usable,https://www.openstreetmap.org/way/907748974
osm:way:907748975,Đình thần Bình Hóa,Hồ Chí Minh,temple,11.05621035,106.78067215,,unknown,usable,https://www.openstreetmap.org/way/907748975
osm:way:907749021,Đình Thới An,Cần Thơ,temple,10.145995249999999,105.65516971180396,,unknown,usable,https://www.openstreetmap.org/way/907749021
osm:way:907749022,Đình Vĩnh Trinh,Cần Thơ,temple,10.29938005,105.48511735,,unknown,usable,https://www.openstreetmap.org/way/907749022
osm:way:907749026,Đình An Lợi,Đồng Nai,temple,10.8112817,106.93188545,,unknown,usable,https://www.openstreetmap.org/way/907749026
osm:way:907749027,Đình An Phước,Đồng Nai,temple,10.8298106,106.90780118429245,,unknown,usable,https://www.openstreetmap.org/way/907749027
osm:way:907749028,Đình thần Thanh Nguyên,Đồng Nai,temple,10.83138615,106.941485,,unknown,usable,https://www.openstreetmap.org/way/907749028
osm:way:907749029,Đình thần Phước Nguyên,Đồng Nai,temple,10.79737445,106.93868602869783,,unknown,usable,https://www.openstreetmap.org/way/907749029
osm:way:907749030,Đình thần Long Thuận,Đồng Nai,temple,10.74324865,106.96731125079472,,unknown,usable,https://www.openstreetmap.org/way/907749030
osm:way:907749031,Đình thần Tam An,Đồng Nai,temple,10.801034399999999,106.9193314,,unknown,usable,https://www.openstreetmap.org/way/907749031
osm:way:907749032,Đình Tam Phước,Đồng Nai,temple,10.86873025,106.91490765,,unknown,usable,https://www.openstreetmap.org/way/907749032
osm:way:907749033,Đình thần Tuy Long,Đồng Nai,temple,10.720944249999999,106.97514950720175,,unknown,usable,https://www.openstreetmap.org/way/907749033
osm:way:907749034,Đình thần Phước Tân,Đồng Nai,temple,10.88188085,106.9029122076706,,unknown,usable,https://www.openstreetmap.org/way/907749034
