interval_id,poi_id,day_of_week,specific_date,status,open_minute,close_minute,closes_next_day,observation_id
hours:99c56eb9328b14205186ff32,osm:node:11929829169,6,,open,450,1020,0,obs:ebad43238a3732992dd08808
hours:2f97772e47ec30183f0e139a,osm:node:11934169470,0,,open,1080,1320,0,obs:2b9f062fa98407189046915b
hours:b7dff2fe809966b10415e8d0,osm:node:11934169470,1,,open,1080,1320,0,obs:2b9f062fa98407189046915b
hours:022455b0b69eb61935e228d3,osm:node:11934169470,2,,open,1080,1320,0,obs:2b9f062fa98407189046915b
hours:a525f1417ee62730deddabc9,osm:node:11934169470,3,,open,1080,1320,0,obs:2b9f062fa98407189046915b
hours:c9fd45428a039e3c4191225c,osm:node:11934169470,4,,open,1080,1320,0,obs:2b9f062fa98407189046915b
hours:911b5019bddff310f9e03836,osm:node:11934169470,5,,open,1080,1320,0,obs:2b9f062fa98407189046915b
hours:0a2cdffc70e7844321e9ba87,osm:node:11934169470,6,,open,1080,1320,0,obs:2b9f062fa98407189046915b
hours:6ca403230c0b51f7d43b5342,osm:node:12090398186,0,,open,480,1200,0,obs:a10e3a70df816f6c5cecaf85
hours:88f9e2e1d1b145377e4673f7,osm:node:12090398186,1,,open,480,1200,0,obs:a10e3a70df816f6c5cecaf85
hours:90dacbe3026404c387fe01b7,osm:node:12090398186,2,,open,480,1200,0,obs:a10e3a70df816f6c5cecaf85
hours:9ee55169fde3e1553b606438,osm:node:12090398186,3,,open,480,1200,0,obs:a10e3a70df816f6c5cecaf85
hours:4bf20e237e852b13f3861aca,osm:node:12090398186,4,,open,480,1200,0,obs:a10e3a70df816f6c5cecaf85
hours:33d4b204913452d48f15ca75,osm:node:12090398186,5,,open,480,1200,0,obs:a10e3a70df816f6c5cecaf85
hours:746c3d921e1c908684191270,osm:node:12090398186,6,,open,480,1200,0,obs:a10e3a70df816f6c5cecaf85
hours:3130595bddbfb170a52799fc,osm:node:12196463120,0,,open,0,1440,0,obs:b3a0b4573854b449b4617f56
hours:1af0132e452927be72d9b2d2,osm:node:12196463120,1,,open,0,1440,0,obs:b3a0b4573854b449b4617f56
hours:70f6e30845ab33cbfd27caa3,osm:node:12196463120,2,,open,0,1440,0,obs:b3a0b4573854b449b4617f56
hours:cc7868ff093f9eca12ce6270,osm:node:12196463120,3,,open,0,1440,0,obs:b3a0b4573854b449b4617f56
hours:f96a70f7207f551abe605e22,osm:node:12196463120,4,,open,0,1440,0,obs:b3a0b4573854b449b4617f56
hours:ad27d7f48936fdcd27ecd9ed,osm:node:12196463120,5,,open,0,1440,0,obs:b3a0b4573854b449b4617f56
hours:db46f5c365f7358fa12b73dd,osm:node:12196463120,6,,open,0,1440,0,obs:b3a0b4573854b449b4617f56
hours:bc93d0b142d4bc4c2a4b2371,osm:node:12344125229,0,,open,480,1200,0,obs:6b1b18001a0155ebaca1e3de
hours:c431df1f635af126d2cd5be8,osm:node:12344125229,1,,open,480,1200,0,obs:6b1b18001a0155ebaca1e3de
hours:38c7782d445488d8a315d3e6,osm:node:12344125229,2,,open,480,1200,0,obs:6b1b18001a0155ebaca1e3de
hours:609cdc58d7cd99a39a4f26a7,osm:node:12344125229,3,,open,480,1200,0,obs:6b1b18001a0155ebaca1e3de
hours:6c721da0c965e6920127ade0,osm:node:12344125229,4,,open,480,1200,0,obs:6b1b18001a0155ebaca1e3de
hours:51ba1db3c18fbd4d823cd44b,osm:node:12344125229,5,,open,480,1200,0,obs:6b1b18001a0155ebaca1e3de
hours:dea2207aab607f95fd34ecef,osm:node:12344125229,6,,open,480,1200,0,obs:6b1b18001a0155ebaca1e3de
hours:e559ab98fd2cd547a1a4336b,osm:node:12441398184,0,,open,420,1020,0,obs:92e828cc5de3ea90dba32e2d
hours:3f733d0d58d920eca2b400bd,osm:node:12441398184,1,,open,420,1020,0,obs:92e828cc5de3ea90dba32e2d
hours:2469b28fcd8b37c67fa7513e,osm:node:12441398184,2,,open,420,1020,0,obs:92e828cc5de3ea90dba32e2d
hours:168716e7cf759f98375213cb,osm:node:12441398184,3,,open,420,1020,0,obs:92e828cc5de3ea90dba32e2d
hours:2efbaede58206fa9e616799c,osm:node:12441398184,4,,open,420,1020,0,obs:92e828cc5de3ea90dba32e2d
hours:9636b56306f9b6c02e75817a,osm:node:12441398184,5,,open,420,1020,0,obs:92e828cc5de3ea90dba32e2d
hours:f232db24f1a494d47d47db7b,osm:node:12441398184,6,,open,420,1020,0,obs:92e828cc5de3ea90dba32e2d
hours:5eb81d7ff196f06af5e395a2,osm:node:12442016001,0,,open,0,1440,0,obs:4430722dd11e036ca5696d1a
hours:0eeeef2bb36b7981c3ad2193,osm:node:12442016001,1,,open,0,1440,0,obs:4430722dd11e036ca5696d1a
hours:7703aaecb76b456bbd733732,osm:node:12442016001,2,,open,0,1440,0,obs:4430722dd11e036ca5696d1a
hours:fafe34f2dabe588b884ff065,osm:node:12442016001,3,,open,0,1440,0,obs:4430722dd11e036ca5696d1a
hours:e67265ff8b38b0967ea87832,osm:node:12442016001,4,,open,0,1440,0,obs:4430722dd11e036ca5696d1a
hours:967e4b08c9cf7544ec6790bc,osm:node:12442016001,5,,open,0,1440,0,obs:4430722dd11e036ca5696d1a
hours:9f350d8f2aeacd3c9b7c4eb6,osm:node:12442016001,6,,open,0,1440,0,obs:4430722dd11e036ca5696d1a
hours:932f143b49133b2388dea3f6,osm:node:12495670595,0,,open,540,1140,0,obs:7aff50ea921d3464b8a47908
hours:1e414974099465d1b5d32bec,osm:node:12495670595,1,,open,540,1140,0,obs:7aff50ea921d3464b8a47908
hours:2ded90c716209fd2decd9cb8,osm:node:12495670595,2,,open,540,1140,0,obs:7aff50ea921d3464b8a47908
hours:658b3780c04603c35451670b,osm:node:12495670595,3,,open,540,1140,0,obs:7aff50ea921d3464b8a47908
hours:3bea4b7815e498b47d2ec970,osm:node:12495670595,4,,open,540,1140,0,obs:7aff50ea921d3464b8a47908
hours:2cfc3bd070f9effa6d1a07cb,osm:node:12495670595,5,,open,540,1140,0,obs:7aff50ea921d3464b8a47908
hours:a255a86e4d63119d0f71e21c,osm:node:12495670595,6,,open,540,1140,0,obs:7aff50ea921d3464b8a47908
