poi_id,short_minutes,typical_minutes,long_minutes,method,observation_id,verified_at
osm:node:11384975469,15,30,45,category_default,,
osm:node:11387469601,20,45,75,category_default,,
osm:node:11387521567,30,60,120,category_default,,
osm:node:11395352269,30,60,120,category_default,,
osm:node:11395352270,20,45,90,category_default,,
osm:node:11395352271,20,45,90,category_default,,
osm:node:11395352369,20,45,90,category_default,,
osm:node:11395352469,20,45,90,category_default,,
osm:node:11395354269,30,60,120,category_default,,
osm:node:11395378829,30,60,120,category_default,,
osm:node:11397903985,20,45,75,category_default,,
osm:node:11411521069,20,45,75,category_default,,
osm:node:11425562478,15,30,45,category_default,,
osm:node:11425582714,15,30,45,category_default,,
osm:node:11430381711,30,60,120,category_default,,
osm:node:11443521788,30,60,120,category_default,,
osm:node:11443633856,20,45,75,category_default,,
osm:node:11445446947,20,45,75,category_default,,
osm:node:11445799012,20,45,75,category_default,,
osm:node:11449076782,30,60,120,category_default,,
osm:node:11449233337,30,60,90,category_default,,
osm:node:11454596869,20,45,90,category_default,,
osm:node:11456168073,20,45,75,category_default,,
osm:node:11459629374,30,60,120,category_default,,
osm:node:11472257346,30,60,120,category_default,,
osm:node:11478369608,30,60,120,category_default,,
osm:node:11493069470,20,45,90,category_default,,
osm:node:11493075069,20,45,90,category_default,,
osm:node:11494544919,20,45,75,category_default,,
osm:node:11496910093,20,45,75,category_default,,
osm:node:11502465296,20,45,75,category_default,,
osm:node:11502465299,20,45,75,category_default,,
osm:node:11505397854,20,45,75,category_default,,
osm:node:11506119911,30,60,120,category_default,,
osm:node:11506138278,30,60,120,category_default,,
osm:node:11508230669,20,45,90,category_default,,
osm:node:11508264669,20,45,75,category_default,,
osm:node:11515859469,30,60,120,category_default,,
osm:node:11518277369,20,45,90,category_default,,
osm:node:1152312963,20,45,90,category_default,,
osm:node:1152313117,20,45,90,category_default,,
osm:node:1152318438,20,45,90,category_default,,
osm:node:1152319884,20,45,90,category_default,,
osm:node:1152345096,20,45,75,category_default,,
osm:node:1152347449,20,45,90,category_default,,
osm:node:1152349231,20,45,90,category_default,,
osm:node:1152350875,30,60,120,category_default,,
osm:node:1152350935,20,45,90,category_default,,
osm:node:11527158960,20,45,75,category_default,,
osm:node:11527179496,20,45,75,category_default,,
osm:node:11528311823,20,45,90,category_default,,
osm:node:11528323528,20,45,90,category_default,,
osm:node:11528348144,20,45,90,category_default,,
osm:node:11528364452,20,45,90,category_default,,
osm:node:11528364473,20,45,90,category_default,,
osm:node:11528392428,20,45,90,category_default,,
osm:node:11528399087,20,45,90,category_default,,
osm:node:11533140869,30,60,120,category_default,,
osm:node:11534640150,20,45,75,category_default,,
osm:node:11535954294,20,45,90,category_default,,
osm:node:11536088538,20,45,90,category_default,,
osm:node:11536736969,30,60,120,category_default,,
osm:node:11538581577,20,45,90,category_default,,
osm:node:11540487237,20,45,90,category_default,,
osm:node:11540533710,20,45,90,category_default,,
osm:node:11555496744,20,45,75,category_default,,
osm:node:11563319766,15,30,45,category_default,,
osm:node:11575442748,30,60,120,category_default,,
osm:node:11581690669,20,45,90,category_default,,
osm:node:11581700332,20,45,75,category_default,,
osm:node:11586091345,20,45,75,category_default,,
osm:node:11596828663,20,45,75,category_default,,
osm:node:11598941137,15,30,45,category_default,,
osm:node:11601268350,30,60,120,category_default,,
osm:node:11607645669,15,30,45,category_default,,
osm:node:1160978742,15,30,45,category_default,,
osm:node:11617175975,30,60,120,category_default,,
osm:node:11618566160,20,45,75,category_default,,
osm:node:11619001235,15,30,45,category_default,,
osm:node:11620842769,20,45,90,category_default,,
osm:node:11621684847,20,45,90,category_default,,
osm:node:11630422969,30,60,120,category_default,,
osm:node:11634634900,30,60,120,category_default,,
osm:node:11636607297,20,45,75,category_default,,
osm:node:11637284769,20,45,90,category_default,,
osm:node:11637285469,20,45,90,category_default,,
osm:node:11638253376,30,60,120,category_default,,
osm:node:11640741669,30,60,90,category_default,,
osm:node:11641042169,20,45,90,category_default,,
osm:node:1164597191,30,60,120,category_default,,
osm:node:1166204872,30,60,120,category_default,,
osm:node:11670719092,20,45,75,category_default,,
osm:node:11681012714,30,60,120,category_default,,
osm:node:11691256822,30,60,90,category_default,,
osm:node:11696067917,15,30,45,category_default,,
osm:node:11700124145,20,45,75,category_default,,
osm:node:11701538496,20,45,90,category_default,,
osm:node:11708010270,30,60,120,category_default,,
osm:node:11726654223,20,45,90,category_default,,
osm:node:11729872196,15,30,45,category_default,,
osm:node:11736197269,15,30,45,category_default,,
osm:node:11736210869,15,30,45,category_default,,
osm:node:11750787918,20,45,90,category_default,,
osm:node:11759495569,20,45,75,category_default,,
osm:node:11767974370,15,30,45,category_default,,
osm:node:11767984169,15,30,45,category_default,,
osm:node:11779827836,15,30,45,category_default,,
osm:node:11784634070,20,45,75,category_default,,
osm:node:11784634071,20,45,75,category_default,,
osm:node:11784634072,20,45,75,category_default,,
osm:node:11801745877,20,45,75,category_default,,
osm:node:11813748258,30,60,120,category_default,,
osm:node:11814771669,20,45,75,category_default,,
osm:node:11816423104,20,45,75,category_default,,
