access_id,poi_id,latitude,longitude,kind,access_minutes,verified,method,observation_id
access:8d1f67b4f546ce43a586753c,osm:node:12169835031,16.0559387,108.2436533,poi_coordinate,10,0,osm_point,obs:6f06659ca55739da0dd0d2fd
access:7630f88c824e2b412b89c0a7,osm:node:12169835032,16.0574637,108.2430337,poi_coordinate,10,0,osm_point,obs:2c9c16e2e93f660dc1b1bc22
access:5180b4a135a01bb97162ebd7,osm:node:12169835034,16.0637651,108.2405129,poi_coordinate,10,0,osm_point,obs:9de7cfd51f0092dedae7792e
access:f018dc99cebf5ac7cb472668,osm:node:12169835035,16.0591314,108.2427878,poi_coordinate,10,0,osm_point,obs:203fb129491822e1a1a666a0
access:ecb50e4cd73e7e610befaf5a,osm:node:12169835054,16.0569007,108.2452644,poi_coordinate,10,0,osm_point,obs:676dbc6e03da3d89b4b07020
access:ed919ee8645efd5582302611,osm:node:12169835056,16.0646177,108.2405919,poi_coordinate,10,0,osm_point,obs:e15a4c850f9eceddfef0d42c
access:82ce8c069366dae40575417a,osm:node:12171092711,16.0557862,108.2456441,poi_coordinate,10,0,osm_point,obs:f94b0166b5ca2e58ad211241
access:e56f31871e2e3ae7cc8a9489,osm:node:12171092713,16.0559743,108.2448885,poi_coordinate,10,0,osm_point,obs:b89b56f1d446d4a515d7b810
access:e8a41152aac5c9230a33d06c,osm:node:12171219555,16.0653388,108.2400409,poi_coordinate,10,0,osm_point,obs:56860f2bd9c343e61af17d4b
access:5ec822035e16569c828d0d9c,osm:node:12171219561,16.0628735,108.2386512,poi_coordinate,10,0,osm_point,obs:13a80c1e41b9638e21611cd4
access:b6768b25d3c81d0bd7b036e2,osm:node:12171219569,16.0597499,108.2386532,poi_coordinate,10,0,osm_point,obs:1ac38a0a8a52fd59145a9038
access:d5fef50c96774badad3dfa05,osm:node:12173072805,16.0551673,108.2420458,poi_coordinate,10,0,osm_point,obs:43985019ec198121604a6108
access:1c9f24d63c334e4b099708fa,osm:node:12173072811,16.0517192,108.2456994,poi_coordinate,10,0,osm_point,obs:5518dd6b1a851da5b10e5d22
access:c6160ccfac7a307f89dfe53d,osm:node:12174005650,16.0561288,108.2409483,poi_coordinate,10,0,osm_point,obs:b948cba893b098619e45c5fc
access:11cfab5a8e62d27e9575fcce,osm:node:12174005655,16.0588589,108.2401821,poi_coordinate,10,0,osm_point,obs:e89e808baa47f48a81c8b7e2
access:cfbe7431e01d6682b6f8bcdf,osm:node:12174018926,16.0656333,108.2399219,poi_coordinate,10,0,osm_point,obs:7f60f607a0510cb6f24eabc9
access:f0ad506da4cd620a6ba49964,osm:node:12174018927,16.065039,108.2398456,poi_coordinate,10,0,osm_point,obs:90648ceda7c4f3736faa29c8
access:b12d78e00139af8cea070b57,osm:node:12174890733,16.062658,108.239764,poi_coordinate,10,0,osm_point,obs:a261506a6e95652ed9197e7d
access:e97384aa805f25feddec933c,osm:node:12174890740,16.0562963,108.2434152,poi_coordinate,10,0,osm_point,obs:e57a3b628e7feb2cc50721cf
access:cb4e1d2151da53fb156f5b1e,osm:node:12174890753,16.0494795,108.2458039,poi_coordinate,10,0,osm_point,obs:61838e2f6dda19eb25986211
access:0cb7d70cc3e237ea9596612e,osm:node:12174890754,16.0510961,108.2451324,poi_coordinate,10,0,osm_point,obs:43941caab4db797d6fc8126b
access:fc2661d6ea1df17721df0102,osm:node:12174890755,16.0534478,108.2446249,poi_coordinate,10,0,osm_point,obs:a72168f875b0cb2b080d6dfb
access:7597217e01767a897708f821,osm:node:12175071921,16.0591137,108.2307179,poi_coordinate,10,0,osm_point,obs:845753015bc3ab733b5b3114
access:c369927cd378a1c91015d4de,osm:node:12175071924,16.0715194,108.2242012,poi_coordinate,10,0,osm_point,obs:b9535ad29d5e25186233275d
access:fb7891005b6a0c35cc58625d,osm:node:12175071925,16.0711724,108.2249723,poi_coordinate,10,0,osm_point,obs:cabde06da2cd9a8579809f8b
access:7b7d330f864529d21be3d985,osm:node:12175071926,16.0689221,108.224931,poi_coordinate,10,0,osm_point,obs:ff865db94bab1a5a7c3114c7
access:7380088fb45e2f898db46aa8,osm:node:12175071932,16.0643996,108.2240413,poi_coordinate,10,0,osm_point,obs:2e9ed6d4c4d0d1086d0e85e8
