poi_id,name,location,category,reasons,evidence_count,source_url,dataset_version
osm:way:210966819,Nhà thờ tộc Nguyễn Tường,Đà Nẵng,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/210966819,v2-c829c8f3e2414108
osm:way:211077246,Bia Có,Đà Nẵng,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/way/211077246,v2-c829c8f3e2414108
osm:way:212193605,The Vong Restaurant,Đà Nẵng,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/way/212193605,v2-c829c8f3e2414108
osm:way:217341345,Công viên Bắc Linh Đàm,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/217341345,v2-c829c8f3e2414108
osm:way:217341918,Chùa Bằng,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/217341918,v2-c829c8f3e2414108
osm:way:218414273,Vườn hoa Hàng Trống,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/218414273,v2-c829c8f3e2414108
osm:way:242518340,Tháp nước Hàng Đậu,Hà Nội,attraction,insufficient_service_evidence,0,https://www.openstreetmap.org/way/242518340,v2-c829c8f3e2414108
osm:way:244377898,Chợ Bún,Hà Nội,market,insufficient_service_evidence,0,https://www.openstreetmap.org/way/244377898,v2-c829c8f3e2414108
osm:way:244378173,Đình Đào Xuyên,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/244378173,v2-c829c8f3e2414108
osm:way:244378176,Chùa Đào Xuyên,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/244378176,v2-c829c8f3e2414108
osm:way:251611780,Đình làng Bằng A,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/251611780,v2-c829c8f3e2414108
osm:way:251612236,Chợ Bằng A,Hà Nội,market,insufficient_service_evidence,0,https://www.openstreetmap.org/way/251612236,v2-c829c8f3e2414108
osm:way:257715376,Đình Liễu Giai,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/257715376,v2-c829c8f3e2414108
osm:way:258038370,Đền Liễu Giai,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/258038370,v2-c829c8f3e2414108
osm:way:267928226,Đền thờ Hai Bà Trưng,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/267928226,v2-c829c8f3e2414108
osm:way:267939019,Chùa Trung Hậu,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/267939019,v2-c829c8f3e2414108
osm:way:267939021,Chùa Thiên Long,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/267939021,v2-c829c8f3e2414108
osm:way:267939024,Chùa Khai Quang,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/267939024,v2-c829c8f3e2414108
osm:way:279353637,Bãi Bìm,Đà Nẵng,beach,insufficient_service_evidence,0,https://www.openstreetmap.org/way/279353637,v2-c829c8f3e2414108
osm:way:28847036,Chợ Hàng Da,Hà Nội,market,insufficient_service_evidence,0,https://www.openstreetmap.org/way/28847036,v2-c829c8f3e2414108
osm:way:28869502,Vườn hoa Mai Xuân Thưởng,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/28869502,v2-c829c8f3e2414108
osm:way:28869503,Vườn hoa Vạn Xuân,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/28869503,v2-c829c8f3e2414108
osm:way:28869505,Vườn hoa 19-8,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/28869505,v2-c829c8f3e2414108
osm:way:29133247,Gò Đống Đa,Hà Nội,park,insufficient_service_evidence,1,https://www.openstreetmap.org/way/29133247,v2-c829c8f3e2414108
osm:way:291706038,Bảo tàng lực lượng Tăng Thiết Giáp,Hà Nội,museum,insufficient_service_evidence,0,https://www.openstreetmap.org/way/291706038,v2-c829c8f3e2414108
osm:way:295178277,Công viên,Đà Nẵng,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/295178277,v2-c829c8f3e2414108
osm:way:303193771,Chợ Siêu thị Đà Nẵng,Đà Nẵng,market,insufficient_service_evidence,0,https://www.openstreetmap.org/way/303193771,v2-c829c8f3e2414108
osm:way:303341669,Bảo tàng Hồ Chí Minh,Đà Nẵng,museum,insufficient_service_evidence,0,https://www.openstreetmap.org/way/303341669,v2-c829c8f3e2414108
osm:way:303341680,Eden,Đà Nẵng,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/way/303341680,v2-c829c8f3e2414108
osm:way:303499553,Đình Nại Nam,Đà Nẵng,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/303499553,v2-c829c8f3e2414108
osm:way:316013412,Pomelo Park,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/316013412,v2-c829c8f3e2414108
osm:way:316013428,Pineapple Park,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/316013428,v2-c829c8f3e2414108
osm:way:316236687,Chợ Đống Đa,Đà Nẵng,market,insufficient_service_evidence,0,https://www.openstreetmap.org/way/316236687,v2-c829c8f3e2414108
osm:way:316518839,Vườn hoa Bác Cổ,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/316518839,v2-c829c8f3e2414108
osm:way:320722329,Hội quán Phúc Kiến,Đà Nẵng,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/320722329,v2-c829c8f3e2414108
osm:way:320722815,Nhà Hàng,Đà Nẵng,restaurant,insufficient_service_evidence,0,https://www.openstreetmap.org/way/320722815,v2-c829c8f3e2414108
osm:way:324550132,Đình Khương Hạ,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/324550132,v2-c829c8f3e2414108
osm:way:337895383,Đại Chủng viện Thánh Giuse Hà Nội - cơ sở 2,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/337895383,v2-c829c8f3e2414108
osm:way:344262457,Chợ đầu mối phía Nam,Hà Nội,market,insufficient_service_evidence,0,https://www.openstreetmap.org/way/344262457,v2-c829c8f3e2414108
osm:way:351035449,Đài tưởng niệm liệt sĩ Phú Diễn,Hà Nội,historic,insufficient_service_evidence,0,https://www.openstreetmap.org/way/351035449,v2-c829c8f3e2414108
osm:way:35952504,Chợ Hội An,Đà Nẵng,market,insufficient_service_evidence,0,https://www.openstreetmap.org/way/35952504,v2-c829c8f3e2414108
osm:way:363224651,Nhà thờ Đức Mẹ Sao Biển,Đà Nẵng,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/363224651,v2-c829c8f3e2414108
osm:way:372172906,Indoor Market,Đà Nẵng,market,insufficient_service_evidence,0,https://www.openstreetmap.org/way/372172906,v2-c829c8f3e2414108
osm:way:372172907,Tịnh xá Ngọc Giáng,Đà Nẵng,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/372172907,v2-c829c8f3e2414108
osm:way:372196690,Nhà thờ Tin Lành,Đà Nẵng,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/372196690,v2-c829c8f3e2414108
osm:way:372311082,Chùa Bồ Đề,Đà Nẵng,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/372311082,v2-c829c8f3e2414108
osm:way:37629570,Phủ Chủ Tịch,Hà Nội,attraction,insufficient_service_evidence,0,https://www.openstreetmap.org/way/37629570,v2-c829c8f3e2414108
osm:way:37933258,Viện Bảo tàng Cách mạng Việt Nam,Hà Nội,museum,insufficient_service_evidence,0,https://www.openstreetmap.org/way/37933258,v2-c829c8f3e2414108
osm:way:38137267,Công viên Indira Gandhi,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/38137267,v2-c829c8f3e2414108
osm:way:384671191,Vườn hoa Thạch Bàn,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/384671191,v2-c829c8f3e2414108
osm:way:384671209,Vườn hoa Sài Đồng,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/384671209,v2-c829c8f3e2414108
osm:way:404714309,Nhà thờ Chính tòa Đà Nẵng,Đà Nẵng,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/404714309,v2-c829c8f3e2414108
osm:way:412757511,Vườn hoa Nguyễn Biểu,Hà Nội,park,insufficient_service_evidence,0,https://www.openstreetmap.org/way/412757511,v2-c829c8f3e2414108
osm:way:420947244,Quan Âm,Đà Nẵng,historic,insufficient_service_evidence,0,https://www.openstreetmap.org/way/420947244,v2-c829c8f3e2414108
osm:way:421716837,Bla Bla,Hà Nội,cafe,insufficient_service_evidence,0,https://www.openstreetmap.org/way/421716837,v2-c829c8f3e2414108
osm:way:428850033,Đình Triều Khúc,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/428850033,v2-c829c8f3e2414108
osm:way:429019192,Chợ Tân Lập,Đà Nẵng,market,insufficient_service_evidence,0,https://www.openstreetmap.org/way/429019192,v2-c829c8f3e2414108
osm:way:430133742,Chùa Hương Vân,Hà Nội,temple,insufficient_service_evidence,0,https://www.openstreetmap.org/way/430133742,v2-c829c8f3e2414108
